SIF_UUID,PROGRAM_CODE,MANIFEST_ID
c7da202c-7018-4329-9031-c38fb0a243bb,SCI_NA18E_SCIDIM_MODK,I_13aaaaaa-aaaa-4aaa-a46a-978054488234
4a33ee83-4d77-49d8-bc03-dba6af2b2ba5,SS_NL18E_USH_CWTP,I_13aaaaaa-aaaa-4aaa-a4aa-978132891995
4a33ee83-4d77-49d8-bc03-dba6af2b2ba5,SS_NL19E_MS_WG,I_13aaaaaa-aaaa-4aaa-a42a-978054467367
3bb3c99d-729f-4957-b705-e37c7b8bd909,SCI_NA18E_SCIDIM_MODA,I_13aaaaaa-aaaa-4aaa-a3ea-978054488223
567c6a04-ff84-4c4a-ad82-01232a3e5619,SS_KD_NLK,I_13aaaaaa-aaaa-4aaa-a4ca-978132888653
20ce7475-4c03-4e62-a540-aed17d1f38b3,SS_NL18E_USH,I_13aaaaaa-aaaa-4aaa-a3aa-978054445417
0defe889-89b8-4e70-9e8b-b8636e938a24,SS_NL18E_USH,I_13aaaaaa-aaaa-4aaa-a4aa-978132891980
0adb63c5-3830-481f-b917-eb331330935b,SCI_NA18E_SCIDIM_G04,I_13aaaaaa-aaaa-4aaa-a44a-978054470919
0adb63c5-3830-481f-b917-eb331330935b,SCI_NA18E_SCIDIM_G03,I_13aaaaaa-aaaa-4aaa-a46a-978054470918
379eefa9-e16c-40b0-87ff-d623c9501853,SCI_NA18E_SCIDIM_EAR,I_13aaaaaa-aaaa-4aaa-a48a-978132896461
fbfc23f8-05fa-44d5-929b-3dfed092b3ef,SCI_NA18E_SCIDIM_G04,I_13aaaaaa-aaaa-4aaa-a44a-978054470919
15aa004e-4ae6-43d0-b40e-c806974686d6,SCI_NA18E_SCIDIM_G03,I_13aaaaaa-aaaa-4aaa-a46a-978054470918
15aa004e-4ae6-43d0-b40e-c806974686d6,SCI_NA18E_SCIDIM_G02,I_13aaaaaa-aaaa-4aaa-a3ea-978132845060
07fcb440-f302-4f0c-b7f4-f415f7ee2e59,SCI_NA18E_SCIDIM_MODG,I_13aaaaaa-aaaa-4aaa-a40a-978054488242
07fcb440-f302-4f0c-b7f4-f415f7ee2e59,SCI_NA18E_SCIDIM_MODE,I_13aaaaaa-aaaa-4aaa-a48a-978054488228
0eb45066-d790-4700-80b6-94a0f1fd8c7a,SCI_NA18E_SCIDIM_GK,I_13aaaaaa-aaaa-4aaa-a42a-978054470915
10de797f-c557-4705-8184-f305868f63c2,SCI_NA18E_SCIDIM_MODI,I_13aaaaaa-aaaa-4aaa-a40a-978054488232
5b6a5d65-4d0d-456b-b406-042950c3b612,SS_NL18E_MS_WC,I_13aaaaaa-aaaa-4aaa-a44a-978054467351
f52d9d20-a942-4323-80c8-04d38d9b88ae,SCI_NA18E_SCIDIM_GK,I_13aaaaaa-aaaa-4aaa-a42a-978054470915
e968d201-da3b-4428-992f-34e94f350ec5,SCI_NA18E_SCIDIM_MODJ,I_13aaaaaa-aaaa-4aaa-a44a-978054488245
e968d201-da3b-4428-992f-34e94f350ec5,SCI_NA18E_SCIDIM_MODD,I_13aaaaaa-aaaa-4aaa-a40a-978054488227
e968d201-da3b-4428-992f-34e94f350ec5,SCI_NA18E_SCIDIM_MODG,I_13aaaaaa-aaaa-4aaa-a40a-978054488242
43644277-7aa9-47fe-b936-11c4cfe97ecc,SCI_NA18E_SCIDIM_GK,I_13aaaaaa-aaaa-4aaa-a42a-978132845048
dbfcc0e8-24a7-4b86-b52e-21fdfc99906a,SS_NL18E_HS_AH,I_13aaaaaa-aaaa-4aaa-a48a-978132891689
5b0a4bf4-518f-4d2d-83c1-18b9c8dfacc6,SCI_NA18E_SCIDIM_BIO,I_13aaaaaa-aaaa-4aaa-a46a-978132896442
786e4fe9-9228-4619-9b5f-53d3028021bf,SCI_NA18E_SCIDIM_MODL,I_13aaaaaa-aaaa-4aaa-a44a-978054488235
786e4fe9-9228-4619-9b5f-53d3028021bf,SCI_NA18E_SCIDIM_MODG,I_13aaaaaa-aaaa-4aaa-a3aa-978054488230
786e4fe9-9228-4619-9b5f-53d3028021bf,SCI_NA18E_SCIDIM_MODD,I_13aaaaaa-aaaa-4aaa-a40a-978054488227
786e4fe9-9228-4619-9b5f-53d3028021bf,SCI_NA18E_SCIDIM_MODC,I_13aaaaaa-aaaa-4aaa-a48a-978054488238
786e4fe9-9228-4619-9b5f-53d3028021bf,SCI_NA18E_SCIDIM_MODB,I_13aaaaaa-aaaa-4aaa-a4aa-978054488237
d6f26131-3839-4288-bb33-93b34eadefd3,SS_NL18E_MS_AWC,I_13aaaaaa-aaaa-4aaa-a52a-978132899768
b9e1483c-7f3e-48e6-8ef4-37ae5e242ab6,SCI_NA18E_SCIDIM_EAR,I_13aaaaaa-aaaa-4aaa-a48a-978132896461
f44ff64c-268f-4755-a750-2f0d673887f1,SS_KD_NL6,I_13aaaaaa-aaaa-4aaa-a40a-978132884307
834588ba-480c-4570-b9d5-50db31636e7c,SS_NL18E_HS_WH,I_13aaaaaa-aaaa-4aaa-a3ca-978132891704
8d2539a0-280d-4212-ac8e-c68e983f1ed3,SS_FL18E_USH1877,I_13aaaaaa-aaaa-4aaa-a3ea-978054492752
48ae9b28-4f68-40fc-957d-1bbec5b22bb6,SCI_FL19E_FLSCI_G2,I_13aaaaaa-aaaa-4aaa-a46a-978132845833
48ae9b28-4f68-40fc-957d-1bbec5b22bb6,SCI_FL19E_FLSCI_G3,I_13aaaaaa-aaaa-4aaa-a44a-978132845834
48ae9b28-4f68-40fc-957d-1bbec5b22bb6,SCI_FL19E_FLSCI_G4,I_13aaaaaa-aaaa-4aaa-a4ea-978132845889
69ae7468-445f-4297-bba9-015c54d67bbc,SCI_NA18E_SCIDIM_G02,I_13aaaaaa-aaaa-4aaa-a3ea-978132845060
2e10bf15-0721-4ed5-9116-feefa094ee73,SCI_GA19E_GASCI_GK,I_13aaaaaa-aaaa-4aaa-a42a-978132893137
2e10bf15-0721-4ed5-9116-feefa094ee73,SCI_GA19E_GASCI_G4,I_13aaaaaa-aaaa-4aaa-a40a-978132893153
2e10bf15-0721-4ed5-9116-feefa094ee73,SCI_GA19E_GASCI_G1,I_13aaaaaa-aaaa-4aaa-a4ea-978132845988
2e10bf15-0721-4ed5-9116-feefa094ee73,SCI_GA19E_GASCI_G3,I_13aaaaaa-aaaa-4aaa-a42a-978132893152
2e10bf15-0721-4ed5-9116-feefa094ee73,SCI_GA19E_GASCI_G4,I_13aaaaaa-aaaa-4aaa-a46a-978132845992
dd4c6ec8-1391-40ae-bd96-273a037c2c3c,SS_NL18E_MS_AWC,I_13aaaaaa-aaaa-4aaa-a52a-978132899768
c20c7ede-7ef3-49a2-8850-fdf7d89f6e24,SCI_NA18E_SCIDIM_MODF,I_13aaaaaa-aaaa-4aaa-a46a-978054488229
c20c7ede-7ef3-49a2-8850-fdf7d89f6e24,SCI_NA18E_SCIDIM_MODG,I_13aaaaaa-aaaa-4aaa-a3aa-978054488230
c20c7ede-7ef3-49a2-8850-fdf7d89f6e24,SCI_NA18E_SCIDIM_MODB,I_13aaaaaa-aaaa-4aaa-a46a-978054488224
1124c941-754e-4d5c-8bb6-85d1d65d4fc2,SS_KD_NL1,I_13aaaaaa-aaaa-4aaa-a4aa-978132888654
ba1f9a44-c502-44e4-848d-25508c249dd4,SCI_NA18E_SCIDIM_BIO,I_13aaaaaa-aaaa-4aaa-a44a-978054481196
